D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
skor1	7	7	3	3	26	38	57	3	0	18	0
skor2	57	25	12	11	114	304	267	14	8	73	5
skp1	3142	2524	2551	1878	2823	4275	2739	2309	1245	2790	1198
skp2	0	6	6	0	2	0	0	0	0	2	0
sla	17	11	10	37	8	66	20	35	11	22	10
slain1	38	43	11	33	234	498	290	25	25	97	18
slain2	49	16	49	47	51	416	253	262	74	350	83
slc10a4	10	0	3	4	7	7	18	0	7	7	1
slc10a7	30	18	40	23	50	205	82	94	29	150	20
slc12a1	0	0	0	3	0	4	9	1	0	1	3
slc12a3	0	0	12	0	1	20	4	0	0	0	0
slc12a4	236	234	217	162	138	1632	978	653	78	702	207
slc12a6	119	115	140	132	192	1370	1024	415	77	794	193
slc12a8	10	5	8	0	1	14	8	0	0	4	1
slc12a9	86	85	70	50	155	473	263	65	22	148	45
slc13a2	0	1	0	1	1	7	0	0	9	0	0
slc13a4	16	5	0	4	22	78	41	17	1	15	2
slc13a5	42	21	5	25	132	244	536	30	18	230	69
slc15a4	44	47	41	18	35	266	100	115	22	142	21
slc15a5	0	0	0	0	6	0	0	1	0	0	0
slc16a10	25	55	51	20	4	132	108	85	4	278	11
slc16a13	27	25	0	17	7	26	14	32	6	11	0
slc16a4	15	10	1	4	14	61	57	0	0	7	0
slc16a5	0	0	0	0	0	0	0	0	0	0	0
slc16a6	0	6	9	3	6	37	11	14	0	18	4
slc16a7	6	9	0	3	29	75	59	5	4	29	5
slc16a9	266	305	201	281	270	1750	933	1297	169	626	128
slc17a5	31	25	25	19	57	80	74	29	14	106	12
slc17a6	4	0	5	0	0	12	1	2	0	6	0
slc17a9	10	27	46	18	22	317	85	84	7	90	26
slc18a1	85	20	53	160	163	1352	186	41	43	175	35
slc18a2	12	4	0	3	16	26	35	2	0	7	6
slc1a1	32	31	21	24	123	201	145	17	7	58	8
slc1a2	209	194	87	87	359	1409	1619	154	13	593	18
slc1a5	336	291	208	270	143	3114	826	1406	248	1485	707
slc20a2	15	6	17	12	42	279	309	216	15	127	34
slc22a15	25	43	83	54	83	329	126	155	56	210	27
slc22a16	0	2	0	3	6	21	7	20	5	5	5
slc22a17	9	12	16	24	103	230	154	24	8	79	29
slc22a18	93	84	72	70	64	265	155	75	28	201	35
slc22a23	36	18	16	31	39	117	252	15	12	89	16
slc22a31	48	17	88	63	50	289	102	138	5	144	17
slc24a1	1243	750	68	1395	2353	1645	2480	287	106	1850	135
slc24a2	34	76	15	74	252	194	771	482	138	701	250
slc24a3	10	14	9	23	145	215	188	44	4	81	3
slc24a5	274	251	76	230	151	258	98	129	23	92	25
slc25a1	3	14	21	6	8	77	51	20	10	43	6
slc25a10	33	6	76	37	10	17	57	180	90	72	47
slc25a11	1576	1167	1872	1723	2705	3103	2252	2767	2966	2661	1551
slc25a13	24	21	6	65	147	125	174	27	8	120	8
slc25a14	20	16	14	6	35	66	47	57	23	114	14
slc25a16	15	19	25	23	15	54	25	73	21	61	44
slc25a17	215	262	163	168	185	155	86	122	92	151	79
slc25a19	5	6	15	12	1	15	14	8	0	11	0
slc25a20	63	26	175	16	19	121	85	119	36	438	28
slc25a21	27	37	26	39	46	69	151	120	50	151	57
slc25a24	1562	1453	3658	778	1072	1758	958	775	141	2743	175
slc25a26	175	88	114	111	127	182	146	140	81	162	77
slc25a28	1265	999	896	1062	1875	2453	2381	2091	1209	2722	889
slc25a29	177	220	96	147	316	689	416	75	16	266	22
slc25a3	8370	5983	8798	11085	11943	17036	13374	16701	16508	17075	8850
slc25a32	153	116	210	148	185	295	325	245	167	327	135
slc25a33	1740	1139	1075	945	1370	2416	1597	2397	1289	1894	1347
slc25a34	39	74	32	86	94	251	213	132	46	131	95
slc25a35	36	33	8	63	33	138	125	95	40	78	21
slc25a4	2006	185	4642	4107	573	1284	3656	8648	6785	3035	2882
slc25a40	44	93	54	44	82	220	208	185	82	219	97
slc25a42	122	177	190	145	287	435	332	195	67	444	51
slc25a43	118	66	105	77	62	201	116	113	60	210	44
slc25a45	0	5	0	0	0	0	3	0	0	0	0
slc25a47	136	114	48	59	273	383	271	42	28	82	4
slc25a48	98	169	311	64	115	287	178	293	49	703	8
slc25a51	64	123	75	63	105	161	103	97	47	202	30
slc25a53	0	1	0	7	14	6	7	1	4	4	0
slc26a11	87	70	107	51	103	223	84	71	28	171	29
slc26a2	11	18	20	20	39	44	66	27	8	30	6
slc26a3	0	6	0	5	0	0	20	0	0	3	7
slc26a5	113	147	145	147	211	377	279	83	43	201	43
slc26a6	0	11	21	8	24	16	13	11	0	17	0
slc26a9	3	0	0	0	0	16	6	2	1	4	0
slc27a1	79	112	93	82	112	202	291	89	22	148	46
slc27a4	39	15	14	32	57	264	168	107	23	161	35
slc27a6	1290	978	565	411	1245	1465	1099	266	159	718	160
slc28a1	2	0	0	2	1	27	21	10	4	3	0
slc28a3	7	2	0	0	0	0	2	0	0	4	0
slc29a3	281	127	259	170	186	300	213	274	103	502	129
slc29a4	357	266	165	112	400	310	321	35	16	126	10
slc2a10	107	70	139	108	42	140	46	74	24	69	76
slc2a11	10	11	4	31	21	47	8	44	6	39	4
slc2a12	14	4	43	13	7	7	24	12	8	15	11
slc2a13	0	0	0	1	25	47	56	28	12	27	6
slc2a2	0	0	5	1	1	2	0	1	0	0	0
slc2a4	4	0	37	34	13	11	44	62	17	6	14
slc2a5	0	0	0	0	0	3	0	0	0	0	0
slc2a8	86	100	96	50	59	166	138	127	31	218	26
slc30a1	87	34	58	54	36	593	149	121	73	215	99
slc30a4	167	173	226	145	195	465	468	258	97	397	118
slc30a5	631	417	531	452	641	1134	735	495	198	597	267
slc30a6	258	277	581	298	560	1087	622	521	570	850	304
slc30a7	306	319	242	265	341	522	312	249	59	320	166
slc30a9	80	113	74	71	222	595	345	315	134	411	279
slc31a1	198	230	193	173	331	1227	688	371	130	495	230
slc31a2	969	1448	306	603	754	592	1181	1782	802	2288	905
slc32a1	41	45	24	35	152	295	364	10	5	76	5
slc33a1	17	24	4	18	42	99	51	24	0	68	10
slc35a1	152	185	114	91	148	823	333	387	111	438	60
slc35a2	44	34	26	60	28	201	110	94	9	171	39
slc35a3	52	35	52	37	40	117	70	30	22	133	9
slc35a4	106	105	68	101	162	116	79	98	41	95	35
slc35a5	88	95	208	93	267	883	829	248	47	501	137
slc35b1	295	219	172	237	283	635	304	379	106	365	100
slc35b2	177	130	92	85	207	319	268	245	106	317	138
slc35b3	116	75	57	103	116	130	138	59	14	82	21
slc35b4	13	76	12	21	26	54	78	49	15	66	4
slc35c1	56	64	39	40	52	136	83	50	24	69	18
slc35c2	78	60	97	40	70	136	79	111	51	159	30
slc35d1	88	76	49	36	83	207	119	95	23	164	33
slc35d3	14	4	0	6	2	20	29	9	2	13	8
slc35e1	52	81	12	17	33	365	138	100	38	166	61
slc35e2b	30	63	29	45	76	142	120	57	24	154	6
slc35e3	66	43	69	53	39	234	103	142	49	170	49
slc35e4	30	26	44	37	33	102	57	61	13	71	21
slc35f1	22	7	0	7	15	14	34	6	0	20	0
slc35f3	29	7	22	12	30	37	43	13	2	9	2
slc35f4	70	34	7	31	96	62	88	3	4	21	0
slc35f5	8	4	6	3	11	55	44	9	7	17	17
slc35f6	137	150	205	100	116	873	239	357	173	332	164
slc35g1	52	64	37	36	61	191	160	96	18	143	14
slc37a1	68	22	25	19	56	227	128	58	65	103	34
slc37a2	57	71	19	35	38	297	66	74	14	40	12
slc37a3	112	119	130	50	165	347	248	133	94	299	105
slc37a4	40	29	49	33	46	38	46	28	12	31	18
slc38a10	159	187	267	181	239	948	646	370	47	473	45
slc38a11	130	63	7	54	47	46	14	14	0	16	0
slc38a2	2963	1691	1752	1343	782	9219	1693	3623	673	4982	751
slc38a6	28	51	98	49	74	237	133	66	14	105	14
slc38a7	13	38	23	26	58	300	87	73	8	130	37
slc38a9	114	84	73	91	95	210	188	118	33	200	22
slc39a1	60	56	200	103	201	964	176	388	162	329	141
slc39a10	29	19	11	15	35	231	123	121	60	105	32
slc39a11	51	22	16	18	42	76	44	19	4	38	13
slc39a12	553	279	99	199	438	1086	545	259	103	466	105
slc39a13	437	396	424	365	269	455	343	396	351	442	197
slc39a3	60	27	31	19	68	82	63	49	24	67	5
slc39a4	11	0	1	2	0	0	0	0	0	0	0
slc39a6	51	19	42	28	114	323	166	129	41	95	73
slc39a9	43	75	75	35	63	77	99	52	22	130	34
slc3a1	122	141	76	104	148	203	120	85	21	141	40
slc3a2	6706	4997	3059	3699	4320	14513	8240	9573	1784	9157	3334
slc40a1	64	64	93	45	49	448	181	97	6	248	33
slc41a1	35	11	7	37	28	56	48	16	6	34	2
slc43a1	41	31	22	26	12	471	131	123	34	255	53
slc43a3	132	122	220	58	40	189	139	115	11	460	30
slc44a5	127	105	52	152	321	381	475	91	25	237	8
slc45a1	30	17	15	9	89	94	127	11	0	31	4
slc45a2	516	457	236	448	351	381	183	256	207	230	189
slc46a1	45	26	13	18	75	147	93	28	3	35	11
slc46a2	0	22	17	8	7	136	36	31	18	53	27
slc49a3	3	4	13	6	7	31	31	24	19	31	18
slc4a1	751	1042	2912	414	486	2109	3018	3179	658	9833	473
slc4a11	27	46	45	13	74	165	114	18	25	48	0
slc4a1ap	145	194	144	161	290	856	660	515	248	615	279
slc4a2	92	105	48	117	90	791	325	334	47	284	48
slc4a4	99	68	48	60	95	433	357	67	21	236	25
slc4a5	78	162	13	166	231	56	802	559	162	615	185
slc50a1	23	23	14	15	23	38	15	14	4	14	19
slc5a10	39	9	20	24	16	71	31	32	17	31	13
slc5a5	5	0	2	6	1	28	7	22	6	1	2
slc5a9	4	0	0	0	0	0	0	0	0	0	0
slc6a1	51	66	11	47	372	352	1021	13	3	173	9
slc6a11	15	15	2	2	38	23	47	0	0	6	1
slc6a14	0	0	0	0	0	72	0	3	0	7	21
slc6a15	357	390	53	604	640	580	1398	1176	273	1197	180
slc6a17	23	4	1	3	26	117	93	20	9	44	5
slc6a2	160	28	51	42	42	182	116	85	15	90	3
slc6a20	66	23	0	31	21	28	119	166	0	66	2
slc6a3	8	6	0	7	40	45	207	7	0	68	0
slc6a4	210	179	182	191	268	1235	389	66	31	234	10
slc6a5	0	0	0	0	2	1	4	3	0	0	0
slc6a9	12	21	19	23	167	462	670	48	9	194	5
slc7a11	273	452	52	341	102	107	806	1152	44	789	123
slc7a14	3	7	7	6	25	88	133	0	0	59	4
slc7a4	37	54	9	31	271	375	355	62	23	177	14
slc7a5	35	72	74	87	138	888	874	502	125	612	173
slc7a6	0	0	6	0	7	13	11	0	0	13	4
slc7a6os	478	376	484	335	561	1080	595	555	258	940	289
slc7a9	0	12	9	12	10	8	6	5	0	2	16
slc8a1	0	5	1	3	12	62	63	7	0	10	0
slc8a3	10	7	3	6	30	82	130	70	19	54	9
slc8b1	236	202	170	197	156	611	232	247	125	284	104
slc9a1	1	7	0	6	7	63	45	8	1	28	12
slc9a5	10	3	9	5	6	71	36	22	2	14	4
slc9a6	24	10	17	9	8	86	75	25	8	73	13
slc9a7	89	63	44	95	401	470	364	23	40	191	40
slc9a8	276	202	342	252	313	564	410	273	56	543	100
slco2a1	581	175	204	218	100	1283	349	1289	346	1247	337
slco2b1	32	4	37	46	10	113	76	30	8	81	1
slco4a1	3	10	0	12	40	33	49	0	0	21	3
slco5a1	53	37	0	76	61	98	229	139	12	202	9
slf1	43	64	74	38	74	80	65	31	27	69	26
slit1	24	14	36	16	19	268	226	153	39	158	29
slit2	96	81	81	114	338	489	987	284	109	391	131
slitrk1	0	1	1	1	67	208	206	8	0	24	0
slitrk2	62	32	38	31	104	117	253	14	8	22	16
slitrk3	47	22	9	14	91	309	219	11	4	50	0
slitrk4	6	6	0	5	43	103	127	5	2	24	0
slitrk5	44	35	10	22	144	174	230	2	0	62	13
slitrk6	60	25	37	42	65	204	118	14	6	40	14
slk	90	156	148	99	90	5456	389	275	35	327	48
slmap	80	67	72	91	237	472	410	245	92	408	89
sln	0	0	0	0	0	0	0	0	0	0	0
sltm	629	638	560	596	1329	3377	2610	775	318	1639	356
slu7	677	640	760	404	616	1110	742	678	120	948	268
slx4	66	52	25	48	138	123	109	31	11	65	14
slx4ip	0	0	0	2	2	2	1	12	2	1	0
smad1	241	131	310	164	94	796	475	684	213	440	192
smad3	55	63	52	52	92	199	98	80	35	124	35
smad6	346	179	163	267	266	413	309	234	48	311	48
smad7	1323	621	855	842	1023	1924	1140	561	174	1063	189
smad9	52	36	89	69	75	156	120	84	6	135	6
smarca4	310	331	426	356	1037	2222	1764	846	245	970	375
smarca5	623	463	579	444	621	1886	1066	861	308	1087	345
smarcad1	25	45	14	48	84	109	136	81	26	83	23
smarcal1	214	109	285	158	179	231	378	103	88	166	42
smarcc1	16	23	36	28	74	317	268	139	56	264	66
smarcc2	51	36	67	20	110	383	283	78	8	148	44
smarcd1	47	76	95	51	272	586	458	299	88	380	119
smarcd3	25	47	61	33	106	354	374	130	74	209	107
smarce1	55	65	60	78	225	444	266	83	20	109	10
smc1a	966	868	999	664	858	1982	1529	919	298	1234	336
smc2	93	42	31	37	43	37	39	34	23	74	21
smc3	396	563	343	471	809	1406	1386	537	141	1094	214
smc4	217	200	219	191	167	358	195	124	29	185	33
smc6	134	265	162	139	424	1165	705	179	22	318	84
smchd1	155	171	129	158	269	488	381	147	25	166	32
smcp	0	0	0	0	0	0	0	0	0	0	0
smdt1	213	379	306	352	351	360	303	295	325	271	267
smg1	202	170	267	190	550	1496	1393	438	222	852	284
smg5	224	303	301	270	716	962	1010	638	314	947	342
smg6	84	139	158	120	215	717	547	156	19	382	61
smg7	31	23	24	27	92	657	398	163	92	380	59
smg8	23	34	30	41	79	188	134	106	56	107	72
smg9	396	308	305	275	356	371	341	306	153	462	119
smim12	121	130	95	97	130	276	94	173	35	134	54
smim13	48	53	122	63	195	246	182	80	68	139	43
smim14	364	414	171	166	217	748	255	251	74	437	84
smim15	500	479	351	469	490	404	352	386	149	354	163
smim18	62	51	62	34	172	97	110	10	19	51	44
smim19	387	470	560	223	398	560	357	409	232	923	190
smim20	427	275	369	180	282	399	164	174	201	305	39
smim24	0	0	0	0	0	0	0	0	0	1	0
smim26	195	172	125	99	161	125	77	62	61	94	16
smim28	32	67	17	7	105	186	76	3	7	60	10
smim30	296	221	126	163	162	125	139	111	135	135	98
smim4	412	169	214	176	221	392	197	282	13	271	94
smim5	225	123	256	169	73	270	91	90	45	64	28
smim7	1014	683	763	447	642	888	511	515	189	593	211
smim8	1853	1210	858	1128	939	589	881	1085	1201	1080	817
smkr1	70	59	39	31	73	44	90	6	5	36	3
smndc1	1273	903	803	666	1053	1646	1115	824	218	1571	239
smo	15	20	9	10	36	79	65	52	0	47	6
smoc1	83	216	67	46	48	1172	318	145	5	166	47
smoc2	363	630	525	223	156	801	99	276	102	368	204
smox	912	609	937	927	1037	4572	1848	2489	456	1666	986
smpd1	69	66	106	52	82	240	139	62	75	232	58
smpd2	167	211	104	130	209	369	312	61	28	191	53
smpd3	1	4	10	2	22	109	26	12	0	21	0
smpd4	298	258	469	218	413	745	619	219	204	520	152
smpdl3a	112	71	115	20	60	221	123	90	15	315	40
smpdl3b	86	40	50	30	22	13	35	23	9	27	0
smpx	147	41	567	390	92	194	223	318	196	144	233
sms	400	361	289	264	537	654	571	263	109	559	120
smtnl2	71	3	64	52	21	542	236	498	167	218	116
smug1	16	34	27	23	45	53	68	15	16	61	25
smurf1	143	122	152	127	243	1590	845	535	117	793	261
smyd3	123	116	118	78	76	282	109	69	118	107	65
smyd4	203	145	233	108	175	314	207	87	38	309	43
snai2	105	38	99	114	47	198	104	128	27	77	11
snap23	230	243	221	123	81	897	332	381	116	668	166
snap25	787	662	426	518	3499	6335	7097	243	104	2054	370
snap29	363	426	469	272	281	1048	516	925	140	977	357
snap47	95	61	87	66	125	309	269	69	18	188	16
snap91	48	61	35	45	371	744	817	34	17	178	24
snapc1	426	328	361	199	330	503	304	159	55	467	66
snapc2	64	59	86	67	102	168	105	72	26	123	31
snapc3	115	144	157	110	93	198	155	114	53	148	35
snapc4	122	106	306	114	206	800	451	139	40	455	61
snapc5	561	496	441	315	454	497	360	306	122	496	105
snapin	1241	763	659	694	731	928	512	409	280	559	237
sncaip	12	11	13	11	1	110	23	8	13	44	2
sncb	1174	890	504	859	2899	4523	3410	247	60	1211	164
sncg	8507	4432	7637	2709	4398	12478	4766	3724	1842	3646	1924
snd1	454	462	405	417	513	1300	929	865	349	839	297
sned1	56	12	46	23	25	74	97	34	12	62	7
snf8	587	613	824	520	658	772	825	714	564	738	419
snip1	295	220	310	148	258	717	324	336	69	507	115
snorc	0	19	43	5	3	141	57	69	18	78	10
snph	39	52	11	22	113	197	206	52	59	87	40
snrk	24	7	32	18	44	229	137	81	20	199	5
snrnp200	907	746	783	663	922	1405	1361	893	669	1381	549
snrnp25	121	103	86	96	125	90	83	35	18	97	24
snrnp27	935	679	578	531	709	809	778	788	383	1047	388
snrnp40	153	118	318	82	179	491	237	325	139	261	188
snrnp48	377	399	296	278	316	558	392	420	204	532	145
snrnp70	1165	1319	2711	1321	3125	7725	4791	2280	1061	3721	956
snrpa	179	186	131	206	409	592	418	195	93	230	106
snrpa1	656	586	522	397	539	859	588	523	177	617	237
snrpb	1866	1307	2636	1440	2032	6086	2349	3254	4015	4178	3698
snrpb2	212	153	376	176	226	465	211	228	170	414	152
snrpc	1042	887	1682	571	741	1307	717	1018	548	1577	392
snrpd1	1706	1084	1465	820	1098	1703	712	1163	684	977	657
snrpd2	971	679	841	472	622	1013	406	726	133	624	260
snrpd3	961	806	860	554	664	989	529	686	395	1104	342
snrpe	1356	880	904	666	800	993	515	561	164	704	204
snrpf	1095	807	890	694	870	865	630	625	352	538	343
snrpg	914	676	798	439	614	976	472	708	393	812	345
snta1	11	31	34	53	18	74	115	158	44	158	27
sntb1	68	45	69	69	66	419	153	221	179	201	80
sntb2	78	16	25	46	92	369	412	103	26	319	69
sntg1	15	20	0	16	48	77	107	8	2	26	6
sntg2	13	4	0	1	22	98	106	3	4	24	3
snu13	591	559	822	473	651	1083	452	942	414	590	629
snupn	289	191	282	228	338	384	409	333	221	552	174
snw1	652	747	789	580	912	1944	1314	951	456	1388	468
snx1	244	229	202	167	281	490	427	166	29	399	71
snx10	85	21	47	56	20	289	16	429	55	170	121
snx11	81	120	69	82	65	506	245	294	29	377	132
snx12	1148	759	550	677	708	1354	888	866	366	1156	452
snx13	74	38	42	26	125	293	256	115	53	216	61
snx14	854	932	505	782	1706	3934	3651	1043	636	1460	648
snx15	302	154	245	139	234	335	194	93	55	205	59
snx16	74	106	79	28	105	181	178	112	102	173	60
snx17	48	25	55	20	54	123	142	106	68	179	45
snx18	118	126	43	72	143	454	324	439	198	388	279
snx2	26	30	8	15	21	129	109	77	31	148	72
snx20	20	0	39	10	7	31	1	14	15	46	13
snx21	38	19	31	28	52	171	83	132	80	156	56
snx24	25	48	20	34	76	123	95	63	77	154	44
snx25	274	239	253	186	358	539	487	183	30	341	55
snx29	43	39	43	23	63	128	83	104	48	173	53
snx3	491	713	930	409	620	1098	688	786	302	1357	236
snx30	26	11	35	8	21	139	95	51	16	88	17
snx33	54	32	79	54	25	373	215	107	44	194	36
snx5	247	277	151	151	163	430	397	296	109	415	154
snx6	477	495	427	425	528	1170	921	566	309	884	280
snx7	108	120	187	153	154	370	214	306	170	331	146
snx8	357	305	322	187	130	884	72	386	27	384	132
soat1	125	77	160	58	62	1224	220	596	89	243	219
sobp	15	5	17	9	19	94	22	27	17	12	5
socs1	5	10	36	23	20	107	24	89	16	23	18
socs5	17	55	34	46	21	628	338	146	52	361	60
socs6	5	27	8	17	34	78	70	22	0	55	9
socs7	27	4	1	5	24	83	88	1	9	22	9
sod1	10336	7982	19283	4733	6153	10932	9935	21864	4029	60186	2857
sod2	1154	703	916	738	1147	1507	835	1169	658	1223	384
sod3	304	174	110	161	114	126	123	69	12	94	18
soga1	52	50	40	47	95	467	391	104	17	214	47
sorbs2	402	346	263	335	1002	2712	2391	240	210	976	210
sorcs2	12	21	24	42	73	259	312	36	4	107	18
sord	288	790	84	528	545	204	1131	2422	1423	1436	1176
sorl1	20	20	19	15	81	414	330	20	1	96	31
sort1	33	46	37	33	88	282	280	125	21	143	45
sos1	175	170	229	184	398	1088	1177	781	811	959	647
sos2	45	22	11	33	32	293	341	157	64	215	82
sost	65	30	15	101	91	338	281	39	7	142	21
sostdc1	48	16	54	52	38	95	20	29	7	46	5
sowahc	86	39	9	56	187	276	263	88	35	148	50
sowahd	64	21	33	10	10	242	19	99	25	95	28
sox1	7	3	2	4	1	19	42	75	24	124	26
sox10	34	10	25	68	27	213	144	35	21	122	48
sox11	127	113	53	75	172	458	205	61	7	130	32
sox13	0	6	4	10	19	41	109	37	49	76	43
sox17	77	179	192	159	131	225	146	65	32	103	31
sox2	232	210	73	182	582	1059	1160	466	289	767	622
sox21	0	5	3	1	1	8	0	2	4	4	0
sox4	31	23	29	15	48	199	86	27	0	37	13
sox5	15	21	17	17	63	268	122	13	13	91	6
sox7	96	36	92	71	29	418	340	179	61	348	46
sp1	101	150	163	80	72	537	261	323	46	506	61
sp2	0	43	27	23	51	199	187	89	18	180	20
sp3	39	49	98	46	81	353	226	154	22	172	44
sp4	35	5	17	37	58	249	161	72	15	111	36
sp5	49	17	29	22	122	120	31	11	4	40	12
sp7	8	0	11	7	7	27	27	12	1	7	0
sp8	36	13	18	8	55	84	16	7	0	4	1
sp9	0	14	16	2	12	15	37	7	4	18	0
spa17	86	40	18	34	93	91	31	11	1	25	3
spaca6	0	3	0	0	0	0	1	0	0	0	0
spag1	1806	698	987	747	825	3003	1317	1306	496	2046	558
spag17	0	1	4	1	2	755	23	4	6	15	6
spag5	11	26	30	8	26	27	17	3	0	19	0
spag6	3	7	12	7	3	29	9	8	11	12	0
spag7	537	355	194	276	456	771	687	251	61	625	99
sparc	31416	17468	53627	28202	18991	23100	12942	16573	3578	17126	8844
spart	172	745	47	450	572	3	1170	1927	2168	2160	1940
spast	265	307	377	244	264	463	472	401	193	739	194
spata1	40	26	32	20	35	31	20	41	26	27	7
spata17	0	0	0	0	0	0	0	0	0	0	0
spata18	20	7	11	46	61	22	31	7	1	42	0
spata2	46	28	48	46	58	157	101	39	31	166	26
spata20	1416	921	243	581	985	2864	4219	1879	1429	3018	932
spata22	21	207	16	121	82	8	163	262	375	326	241
spata2l	87	57	89	47	33	342	76	190	94	169	85
spata4	8	0	0	0	0	4	12	0	5	2	0
spata48	0	0	4	0	2	1	0	1	0	2	3
spata5	110	110	119	95	116	333	213	218	102	273	136
spata5l1	176	194	107	118	255	234	258	294	400	409	287
spata6	23	15	7	6	49	85	69	23	14	44	6
spata7	343	224	111	280	407	470	366	71	19	252	10
spc24	90	59	79	53	53	23	39	30	37	61	16
spc25	38	32	18	28	23	20	29	30	0	30	0
spcs1	2897	1819	1896	1355	1409	1930	909	976	764	1612	491
spcs2	700	455	520	485	881	1112	889	746	636	943	461
spcs3	1688	1388	1191	947	882	1040	718	958	661	1125	489
spdef	0	0	0	0	0	0	0	0	0	0	0
spdl1	37	24	30	26	21	70	16	14	4	23	15
spdya	14	22	4	27	41	21	42	10	37	36	2
specc1	328	330	129	227	345	484	649	485	466	743	396
specc1l	35	16	17	27	21	124	128	113	111	171	98
spef1	14	5	14	2	2	11	10	3	5	12	5
spef2	64	61	70	50	107	87	130	24	10	70	17
spen	69	75	98	101	236	561	500	104	1	142	6
spg11	272	240	558	203	340	790	676	327	274	907	136
spg21	608	366	493	359	449	717	481	475	405	621	355
spg7	212	220	163	180	234	284	406	266	140	471	129
sphk1	11	19	0	38	24	23	64	35	28	89	94
sphkap	76	49	19	78	277	283	428	28	3	127	9
spi1	6	0	10	24	12	111	34	17	5	13	4
spic	0	0	0	0	0	0	0	0	0	0	0
spice1	111	50	122	45	122	251	186	43	30	168	31
spidr	202	160	233	204	254	397	316	258	83	325	85
spint1	21	11	39	31	51	67	37	101	1	15	12
spire1	106	96	123	108	193	670	304	277	37	287	27
spire2	92	59	64	108	150	499	252	208	127	162	91
spns1	236	129	269	178	430	1395	643	735	525	736	421
spns2	99	75	128	41	60	241	264	172	18	389	36
spock1	159	153	59	148	681	738	851	71	288	344	239
spock2	61	35	49	36	102	246	347	48	15	123	32
spon1	378	579	93	314	220	1005	570	990	64	801	99
spon2	24	2	87	57	41	43	103	85	19	38	0
spopl	305	141	142	147	224	431	262	157	20	268	36
spout1	234	230	210	181	259	333	177	199	55	305	61
spp2	0	11	0	5	2	14	0	1	0	2	1
sppl2a	1143	1025	1319	883	978	2235	1502	1784	1051	1754	1030
sppl2b	49	64	76	75	97	337	303	237	73	187	89
sppl3	5	7	16	15	15	85	112	37	20	69	6
spr	552	269	265	245	318	687	267	239	193	274	161
spred1	3	6	28	12	27	188	108	52	14	91	2
spred2	5	14	45	27	24	75	91	59	18	75	0
spred3	9	1	2	3	41	50	63	2	1	16	0
sprn	50	18	11	21	74	78	58	11	1	26	5
sprtn	69	69	63	57	85	128	62	58	28	83	24
spry1	913	270	1187	595	584	2702	1079	1297	414	1269	706
spry4	6	1	14	10	40	180	207	42	15	88	28
spryd7	315	215	256	165	366	579	352	171	58	330	77
spsb4	285	154	325	207	176	894	253	377	193	371	100
sptan1	8372	10943	7359	6172	9395	10399	15034	15255	16620	15661	13863
sptbn4	4	13	1	6	100	300	250	3	4	61	15
sptbn5	0	0	10	0	2	4	7	0	2	0	9
sptlc1	344	229	333	213	311	484	349	372	86	482	139
sptlc2	61	53	123	50	42	1083	339	352	84	424	191
sptlc3	12	20	33	16	24	96	15	40	6	14	34
sptssa	171	113	66	84	78	501	367	264	44	361	80
sptssb	0	0	0	6	5	0	14	0	0	4	0
spty2d1	524	704	392	487	680	424	1067	1214	212	1644	530
spx	0	0	1	0	0	0	0	0	0	0	0
sqstm1	3427	1932	5997	1668	2248	15358	5244	7606	5747	12519	4548
sra1	259	232	423	270	400	811	384	426	494	585	330
srbd1	17	20	15	20	62	90	99	31	42	28	17
srcin1	8	4	0	10	25	50	94	1	3	31	0
srd5a1	0	26	4	2	10	31	30	13	3	11	19
srd5a2	43	49	45	30	104	87	75	13	2	33	0
srd5a3	183	102	160	93	167	162	147	58	24	209	34
srebf1	317	136	335	253	328	1167	933	831	431	1223	611
srebf2	48	56	31	73	160	608	1081	809	589	954	463
srek1	118	295	204	203	452	1721	1288	118	12	530	55
srek1ip1	283	187	198	155	286	405	188	139	8	236	22
srf	57	41	171	71	65	748	386	336	218	504	112
srfbp1	181	203	265	102	152	675	156	291	81	238	91
srgap2	62	24	36	48	45	396	306	252	115	325	118
srgap3	44	39	2	52	44	193	179	59	14	98	5
srgn	4826	2319	5043	3248	1945	12152	4272	5359	914	7913	1714
srl	350	65	1410	1009	185	496	1155	1172	1153	517	890
srm	380	375	357	288	322	2413	562	1426	235	803	588
srp14	296	309	214	114	196	440	204	370	80	350	107
srp19	1305	1307	1595	807	1004	1333	917	1114	956	1568	613
srp54	1621	1341	2266	1158	1310	3515	2179	2779	1455	3445	964
srp68	87	104	163	79	160	506	353	417	254	384	202
srp72	291	274	291	200	374	1251	771	819	153	1086	228
srp9	320	252	142	178	199	393	161	386	127	240	155
srpk1	173	231	157	179	627	845	724	208	46	477	73
srpk2	50	28	19	34	130	368	420	271	51	243	71
srpra	494	413	462	491	514	2257	1217	1264	956	1406	874
srprb	143	204	149	115	201	369	276	333	309	343	207
srpx	1816	915	2386	1046	895	1380	564	520	195	775	161
srpx2	722	1256	999	494	295	1954	188	715	130	1022	421
srrd	75	87	113	72	144	134	94	68	41	119	33
srrm1	293	279	442	343	967	3828	2554	922	319	1768	337
srrm4	1	12	0	5	43	64	135	4	0	27	0
